scenario_id,facet,level,answer_set,count,share
2,общительность,Средняя,"Можно было бы, но сейчас в приоритете другое; Не стоит тебе идти на эту вечеринку",1,0.053
2,общительность,Средняя,"Можно было бы, но сейчас в приоритете другое; Не стоит тебе идти на эту вечеринку; Рад; Что ты предложил мне это",1,0.053
2,общительность,Средняя,Не стоит тебе идти на эту вечеринку,1,0.053
2,общительность,Средняя,Не стоит тебе идти на эту вечеринку; Рад; Что ты предложил мне это,1,0.053
2,общительность,Высокая,"Конечно, я обожаю вечеринки!; Рад; Что ты предложил мне это",13,0.684
2,общительность,Высокая,"Конечно, я обожаю вечеринки!",4,0.211
2,общительность,Высокая,"Конечно, я обожаю вечеринки!; Не стоит тебе идти на эту вечеринку; Рад; Что ты предложил мне это",1,0.053
2,общительность,Высокая,"Можно было бы, но сейчас в приоритете другое; Конечно, я обожаю вечеринки!",1,0.053
3,настойчивость,Низкая,Я сам хотел сделать ее!,7,0.368
3,настойчивость,Низкая,Спасибо; Что взял это на себя,4,0.211
3,настойчивость,Низкая,Спасибо; Что взял это на себя; Я восхищен твоим усердием!,3,0.158
3,настойчивость,Низкая,Спасибо; Что взял это на себя; Я сам хотел сделать ее!,2,0.105
3,настойчивость,Низкая,Рад за тебя; Что ты готов потратить на это время,1,0.053
3,настойчивость,Низкая,Спасибо; Что взял это на себя; Рад за тебя; Что ты готов потратить на это время,1,0.053
3,настойчивость,Низкая,Спасибо; Что взял это на себя; Я восхищен твоим усердием!; Рад за тебя; Что ты готов потратить на это время,1,0.053
3,настойчивость,Средняя,Рад за тебя; Что ты готов потратить на это время,7,0.368
3,настойчивость,Средняя,Спасибо; Что взял это на себя,5,0.263
3,настойчивость,Средняя,Я восхищен твоим усердием!; Рад за тебя; Что ты готов потратить на это время,4,0.211
3,настойчивость,Средняя,Я восхищен твоим усердием!,2,0.105
3,настойчивость,Средняя,Спасибо; Что взял это на себя; Рад за тебя; Что ты готов потратить на это время; Я сам хотел сделать ее!,1,0.053
3,настойчивость,Высокая,Я сам хотел сделать ее!,7,0.368
3,настойчивость,Высокая,Я восхищен твоим усердием!; Рад за тебя; Что ты готов потратить на это время,3,0.158
3,настойчивость,Высокая,Я восхищен твоим усердием!,2,0.105
3,настойчивость,Высокая,Спасибо; Что взял это на себя,1,0.053
3,настойчивость,Высокая,Спасибо; Что взял это на себя; Рад за тебя; Что ты готов потратить на это время,1,0.053
3,настойчивость,Высокая,Спасибо; Что взял это на себя; Я восхищен твоим усердием!,1,0.053
3,настойчивость,Высокая,Спасибо; Что взял это на себя; Я восхищен твоим усердием!; Рад за тебя; Что ты готов потратить на это время,1,0.053
3,настойчивость,Высокая,Спасибо; Что взял это на себя; Я восхищен твоим усердием!; Рад за тебя; Что ты готов потратить на это время; Я сам хотел сделать ее!,1,0.053
3,настойчивость,Высокая,Я восхищен твоей усердностью!,1,0.053
3,настойчивость,Высокая,Я восхищен твоим усердием!; Я сам хотел сделать ее!,1,0.053
4,уровень активности,Низкая,Не стоит тебе идти на эту вечеринку,8,0.421
4,уровень активности,Низкая,"Можно было бы, но сейчас в приоритете другое",6,0.316
4,уровень активности,Низкая,"Можно было бы, но сейчас в приоритете другое; Не стоит тебе идти на эту вечеринку",5,0.263
4,уровень активности,Средняя,Рад; Что ты предложил мне это,6,0.316
4,уровень активности,Средняя,"Можно было бы, но сейчас в приоритете другое; Рад; Что ты предложил мне это",5,0.263
4,уровень активности,Средняя,"Можно было бы, но сейчас в приоритете другое",3,0.158
4,уровень активности,Средняя,Не стоит тебе идти на эту вечеринку,2,0.105
4,уровень активности,Средняя,"Можно было бы, но сейчас в приоритете другое; Конечно, я обожаю вечеринки!; Не стоит тебе идти на эту вечеринку",1,0.053
4,уровень активности,Средняя,"Можно было бы, но сейчас в приоритете другое; Не стоит тебе идти на эту вечеринку",1,0.053
4,уровень активности,Средняя,Не стоит тебе идти на эту вечеринку; Рад; Что ты предложил мне это,1,0.053
4,уровень активности,Высокая,"Конечно, я обожаю вечеринки!",9,0.474
4,уровень активности,Высокая,"Конечно, я обожаю вечеринки!; Рад; Что ты предложил мне это",8,0.421
4,уровень активности,Высокая,"Можно было бы, но сейчас в приоритете другое; Конечно, я обожаю вечеринки!",1,0.053
4,уровень активности,Высокая,"Можно было бы, но сейчас в приоритете другое; Конечно, я обожаю вечеринки!; Не стоит тебе идти на эту вечеринку; Рад; Что ты предложил мне это",1,0.053
5,поиск острых ощущений,Низкая,"Кажется, ты не подходишь под ограничения для него; Это не очень хорошая идея кататься на нем",7,0.368
5,поиск острых ощущений,Низкая,Это не очень хорошая идея кататься на нем,5,0.263
5,поиск острых ощущений,Низкая,"Кажется, ты не подходишь под ограничения для него",4,0.211
5,поиск острых ощущений,Низкая,Рад за тебя; Что ты смог его отыскать!,1,0.053
5,поиск острых ощущений,Низкая,"Рад за тебя; Что ты смог его отыскать!; Кажется, ты не подходишь под ограничения для него",1,0.053
5,поиск острых ощущений,Низкая,Это просто прекрасно!,1,0.053
5,поиск острых ощущений,Средняя,Рад за тебя; Что ты смог его отыскать!,7,0.368
5,поиск острых ощущений,Средняя,Это просто прекрасно!,3,0.158
5,поиск острых ощущений,Средняя,Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов,2,0.105
5,поиск острых ощущений,Средняя,Это не очень хорошая идея кататься на нем,2,0.105
5,поиск острых ощущений,Средняя,"Кажется, ты не подходишь под ограничения для него",1,0.053
5,поиск острых ощущений,Средняя,"Рад за тебя; Что ты смог его отыскать!; Кажется, ты не подходишь под ограничения для него",1,0.053
5,поиск острых ощущений,Средняя,"Рад за тебя; Что ты смог его отыскать!; Кажется, ты не подходишь под ограничения для него; Это не очень хорошая идея кататься на нем",1,0.053
5,поиск острых ощущений,Средняя,"Это просто прекрасно!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов; Кажется, ты не подходишь под ограничения для него; Это не очень хорошая идея кататься на нем",1,0.053
5,поиск острых ощущений,Средняя,Это просто прекрасно!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов; Это не очень хорошая идея кататься на нем,1,0.053
5,поиск острых ощущений,Высокая,Это просто прекрасно!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов,6,0.316
5,поиск острых ощущений,Высокая,Это просто прекрасно!; Рад за тебя; Что ты смог его отыскать!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов,3,0.158
5,поиск острых ощущений,Высокая,Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов,2,0.105
5,поиск острых ощущений,Высокая,Рад за тебя; Что ты смог его отыскать!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов,2,0.105
5,поиск острых ощущений,Высокая,Это просто прекрасно!; Рад за тебя; Что ты смог его отыскать!,2,0.105
5,поиск острых ощущений,Высокая,Рад за тебя; Что ты смог его отыскать!,1,0.053
5,поиск острых ощущений,Высокая,Это просто прекрасно!,1,0.053
5,поиск острых ощущений,Высокая,"Это просто прекрасно!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов; Кажется, ты не подходишь под ограничения для него",1,0.053
5,поиск острых ощущений,Высокая,"Это просто прекрасно!; Рад за тебя; Что ты смог его отыскать!; Здорово; Что мы сходимся во мнении по поводу лучшего вида аттракционов; Кажется, ты не подходишь под ограничения для него",1,0.053
6,жизнерадостность,Низкая,"Всё утекает, как дождевая вода.; Как неприятно, на улице стало неуютно.",6,0.316
6,жизнерадостность,Низкая,"Как неприятно, на улице стало неуютно.",4,0.211
6,жизнерадостность,Низкая,"Всё утекает, как дождевая вода.; Мне жаль, что ты застал его",3,0.158
6,жизнерадостность,Низкая,"Всё утекает, как дождевая вода.; Как неприятно, на улице стало неуютно.; Мне жаль, что ты застал его",2,0.105
6,жизнерадостность,Низкая,"Всё утекает, как дождевая вода.",1,0.053
6,жизнерадостность,Низкая,"Всё утекает, как дождевая вода.; Сейчас бы пойти погулять под дождём, внести нотку новизны!; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Низкая,"Как неприятно, на улице стало неуютно.; Мне жаль, что ты застал его",1,0.053
6,жизнерадостность,Низкая,"Мне жаль, что ты застал его",1,0.053
6,жизнерадостность,Средняя,"Мне жаль, что ты застал его",5,0.263
6,жизнерадостность,Средняя,"Здорово, что тебе удалось увидеть его",3,0.158
6,жизнерадостность,Средняя,"Как неприятно, на улице стало неуютно.",2,0.105
6,жизнерадостность,Средняя,"Всё утекает, как дождевая вода.; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Средняя,"Всё утекает, как дождевая вода.; Как неприятно, на улице стало неуютно.; Мне жаль, что ты застал его",1,0.053
6,жизнерадостность,Средняя,"Всё утекает, как дождевая вода.; Мне жаль, что ты застал его",1,0.053
6,жизнерадостность,Средняя,"Всё утекает, как дождевая вода.; Мне жаль, что ты застал его; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Средняя,"Всё утекает, как дождевая вода.; Сейчас бы пойти погулять под дождём, внести нотку новизны!; Мне жаль, что ты застал его; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Средняя,"Как неприятно, на улице стало неуютно.; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Средняя,"Как неприятно, на улице стало неуютно.; Сейчас бы пойти погулять под дождём, внести нотку новизны!; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Средняя,"Мне жаль, что ты застал его; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Средняя,"Сейчас бы пойти погулять под дождём, внести нотку новизны!",1,0.053
6,жизнерадостность,Высокая,"Сейчас бы пойти погулять под дождём, внести нотку новизны!; Здорово, что тебе удалось увидеть его",10,0.526
6,жизнерадостность,Высокая,"Сейчас бы пойти погулять под дождём, внести нотку новизны!",5,0.263
6,жизнерадостность,Высокая,"Всё утекает, как дождевая вода.; Как неприятно, на улице стало неуютно.; Сейчас бы пойти погулять под дождём, внести нотку новизны!; Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Высокая,"Здорово, что тебе удалось увидеть его",1,0.053
6,жизнерадостность,Высокая,"Мне жаль, что ты застал его",1,0.053
6,жизнерадостность,Высокая,"Сейчас бы пойти погулять под дождём, внести нотку новизны!; Мне жаль, что ты застал его; Здорово, что тебе удалось увидеть его",1,0.053
7,доверчивость,Низкая,Ты хочешь использовать ее против меня?; Глупая просьба! Зачем она тебе?,15,0.789
7,доверчивость,Низкая,Глупая просьба! Зачем она тебе?,2,0.105
7,доверчивость,Низкая,Ты хочешь использовать ее против меня?,1,0.053
7,доверчивость,Низкая,Хорошо; Что она у меня есть,1,0.053
7,доверчивость,Средняя,Хорошо; Что она у меня есть,10,0.526
7,доверчивость,Средняя,Конечно! Рад; Что спросил!,6,0.316
7,доверчивость,Средняя,Конечно! Рад; Что спросил!; Глупая просьба! Зачем она тебе?,1,0.053
7,доверчивость,Средняя,Ты хочешь использовать ее против меня?,1,0.053
7,доверчивость,Средняя,Хорошо; Что она у меня есть; Ты хочешь использовать ее против меня?,1,0.053
7,доверчивость,Высокая,Конечно! Рад; Что спросил!,11,0.579
7,доверчивость,Высокая,Хорошо; Что она у меня есть,4,0.211
7,доверчивость,Высокая,Хорошо; Что она у меня есть; Конечно! Рад; Что спросил!,3,0.158
7,доверчивость,Высокая,Хорошо; Что она у меня есть; Конечно! Рад; Что спросил!; Глупая просьба! Зачем она тебе?,1,0.053
8,моральность,Низкая,Это радостная новость,6,0.316
8,моральность,Низкая,Жаль; Что ради этого тебе пришлось меньше спать,4,0.211
8,моральность,Низкая,Классно; Что ты отдаешь всего себя людям,4,0.211
8,моральность,Низкая,Жаль; Что ради этого тебе пришлось меньше спать; Классно; Что ты отдаешь всего себя людям,2,0.105
8,моральность,Низкая,Я так рад! Теперь ты можешь купить себе все что хочешь,1,0.053
8,моральность,Низкая,Я так рад! Теперь ты можешь купить себе все что хочешь; Классно; Что ты отдаешь всего себя людям,1,0.053
8,моральность,Низкая,Я так рад! Теперь ты можешь купить себе все что хочешь; Это радостная новость,1,0.053
8,моральность,Средняя,Это радостная новость,5,0.263
8,моральность,Средняя,Жаль; Что ради этого тебе пришлось меньше спать,4,0.211
8,моральность,Средняя,Жаль; Что ради этого тебе пришлось меньше спать; Это радостная новость,3,0.158
8,моральность,Средняя,Жаль; Что ради этого тебе пришлось меньше спать; Классно; Что ты отдаешь всего себя людям,2,0.105
8,моральность,Средняя,Жаль; Что ради этого тебе пришлось меньше спать; Классно; Что ты отдаешь всего себя людям; Это радостная новость,1,0.053
8,моральность,Средняя,Классно; Что ты отдаешь всего себя людям,1,0.053
8,моральность,Средняя,Классно; Что ты отдаешь всего себя людям; Это радостная новость,1,0.053
8,моральность,Средняя,Я так рад! Теперь ты можешь купить себе все что хочешь; Жаль; Что ради этого тебе пришлось меньше спать; Классно; Что ты отдаешь всего себя людям; Это радостная новость,1,0.053
8,моральность,Средняя,Я так рад! Теперь ты можешь купить себе все что хочешь; Жаль; Что ради этого тебе пришлось меньше спать; Это радостная новость,1,0.053
8,моральность,Высокая,Я так рад! Теперь ты можешь купить себе все что хочешь,5,0.263
8,моральность,Высокая,Я так рад! Теперь ты можешь купить себе все что хочешь; Классно; Что ты отдаешь всего себя людям,5,0.263
8,моральность,Высокая,Классно; Что ты отдаешь всего себя людям,2,0.105
8,моральность,Высокая,Я так рад! Теперь ты можешь купить себе все что хочешь; Жаль; Что ради этого тебе пришлось меньше спать; Это радостная новость,2,0.105
8,моральность,Высокая,Я так рад! Теперь ты можешь купить себе все что хочешь; Это радостная новость,2,0.105
8,моральность,Высокая,Жаль; Что ради этого тебе пришлось меньше спать; Это радостная новость,1,0.053
8,моральность,Высокая,Я так рад! Теперь ты можешь купить себе все что хочешь; Жаль; Что ради этого тебе пришлось меньше спать; Классно; Что ты отдаешь всего себя людям; Это радостная новость,1,0.053
8,моральность,Высокая,Я так рад! Теперь ты можешь купить себе все что хочешь; Классно; Что ты отдаешь всего себя людям; Это радостная новость,1,0.053
9,альтруизм,Низкая,Тебе уже ничего не поможет,17,0.895
9,альтруизм,Низкая,Я помогаю людям,1,0.053
9,альтруизм,Низкая,Я помогаю людям; Рад; Что ты обратился ко мне за помощью,1,0.053
9,альтруизм,Средняя,Я помогаю людям,14,0.737
9,альтруизм,Средняя,Рад; Что ты обратился ко мне за помощью,4,0.211
9,альтруизм,Средняя,Я помогаю людям; Рад; Что ты обратился ко мне за помощью,1,0.053
9,альтруизм,Высокая,Рад; Что ты обратился ко мне за помощью,14,0.737
9,альтруизм,Высокая,Я помогаю людям,2,0.105
9,альтруизм,Высокая,Я помогаю людям; Рад; Что ты обратился ко мне за помощью,2,0.105
9,альтруизм,Высокая,Я помогаю людям; Тебе уже ничего не поможет,1,0.053
10,сотрудничество,Низкая,Это моя задача и я сам хотел сделать ее!,14,0.737
10,сотрудничество,Низкая,Спасибо; Что взял это на себя; Это моя задача и я сам хотел сделать ее!,2,0.105
10,сотрудничество,Низкая,Спасибо; Что взял это на себя,1,0.053
10,сотрудничество,Низкая,Я восхищен твоей усердностью!,1,0.053
10,сотрудничество,Низкая,Я восхищен твоей усердностью!; Рад за тебя; Что ты готов потратить на это время,1,0.053
10,сотрудничество,Средняя,Рад за тебя; Что ты готов потратить на это время,5,0.263
10,сотрудничество,Средняя,Спасибо; Что взял это на себя,5,0.263
10,сотрудничество,Средняя,Спасибо; Что взял это на себя; Рад за тебя; Что ты готов потратить на это время,5,0.263
10,сотрудничество,Средняя,Я восхищен твоей усердностью!,2,0.105
10,сотрудничество,Средняя,Я восхищен твоей усердностью!; Рад за тебя; Что ты готов потратить на это время,2,0.105
10,сотрудничество,Высокая,Я восхищен твоей усердностью!,6,0.316
10,сотрудничество,Высокая,Спасибо; Что взял это на себя; Я восхищен твоей усердностью!,4,0.211
10,сотрудничество,Высокая,Я восхищен твоей усердностью!; Рад за тебя; Что ты готов потратить на это время,4,0.211
10,сотрудничество,Высокая,Спасибо; Что взял это на себя,2,0.105
10,сотрудничество,Высокая,Рад за тебя; Что ты готов потратить на это время; Это моя задача и я сам хотел сделать ее!,1,0.053
10,сотрудничество,Высокая,Спасибо; Что взял это на себя; Я восхищен твоей усердностью!; Рад за тебя; Что ты готов потратить на это время,1,0.053
10,сотрудничество,Высокая,Это моя задача и я сам хотел сделать ее!,1,0.053
11,скромность,Низкая,"Да, я всегда был и буду чертовски крут!",15,0.789
11,скромность,Низкая,Меня радуют твои слова,2,0.105
11,скромность,Низкая,"Да, я всегда был и буду чертовски крут!; Меня радуют твои слова",1,0.053
11,скромность,Низкая,"Нет, это ты большой молодец!; Рад вызвать у тебя радостные эмоции",1,0.053
11,скромность,Средняя,Меня радуют твои слова; Рад вызвать у тебя радостные эмоции,8,0.421
11,скромность,Средняя,Меня радуют твои слова,4,0.211
11,скромность,Средняя,"Меня радуют твои слова; Нет, это ты большой молодец!",2,0.105
11,скромность,Средняя,"Да, я всегда был и буду чертовски крут!; Нет, это ты большой молодец!",1,0.053
11,скромность,Средняя,"Меня радуют твои слова; Нет, это ты большой молодец!; Рад вызвать у тебя радостные эмоции",1,0.053
11,скромность,Средняя,"Нет, это ты большой молодец!",1,0.053
11,скромность,Средняя,"Нет, это ты большой молодец!; Рад вызвать у тебя радостные эмоции",1,0.053
11,скромность,Средняя,Рад вызвать у тебя радостные эмоции,1,0.053
11,скромность,Высокая,"Нет, это ты большой молодец!",6,0.316
11,скромность,Высокая,"Нет, это ты большой молодец!; Рад вызвать у тебя радостные эмоции",5,0.263
11,скромность,Высокая,Рад вызвать у тебя радостные эмоции,3,0.158
11,скромность,Высокая,"Меня радуют твои слова; Нет, это ты большой молодец!; Рад вызвать у тебя радостные эмоции",2,0.105
11,скромность,Высокая,"Да, я всегда был и буду чертовски крут!; Нет, это ты большой молодец!; Рад вызвать у тебя радостные эмоции",1,0.053
11,скромность,Высокая,Меня радуют твои слова,1,0.053
11,скромность,Высокая,Меня радуют твои слова; Рад вызвать у тебя радостные эмоции,1,0.053
12,сочувствие,Низкая,Ну ты хотя бы набрался опыта,13,0.684
12,сочувствие,Низкая,Я рад; Что ты делишься со мной этим,3,0.158
12,сочувствие,Низкая,Мне очень жаль; Что ничего не вышло,2,0.105
12,сочувствие,Низкая,Я рад; Что ты делишься со мной этим; Ну ты хотя бы набрался опыта,1,0.053
12,сочувствие,Средняя,Я рад; Что ты делишься со мной этим,10,0.526
12,сочувствие,Средняя,Ну ты хотя бы набрался опыта,4,0.211
12,сочувствие,Средняя,Мне очень жаль; Что ничего не вышло,2,0.105
12,сочувствие,Средняя,Мне очень жаль; Что ничего не вышло; Ну ты хотя бы набрался опыта,1,0.053
12,сочувствие,Средняя,Мне очень жаль; Что ничего не вышло; Я рад; Что ты делишься со мной этим,1,0.053
12,сочувствие,Средняя,Я рад; Что ты делишься со мной этим; Ну ты хотя бы набрался опыта,1,0.053
12,сочувствие,Высокая,Мне очень жаль; Что ничего не вышло,11,0.579
12,сочувствие,Высокая,Мне очень жаль; Что ничего не вышло; Я рад; Что ты делишься со мной этим,5,0.263
12,сочувствие,Высокая,Мне очень жаль; Что ничего не вышло; Ну ты хотя бы набрался опыта,1,0.053
12,сочувствие,Высокая,Мне очень жаль; Что ничего не вышло; Я рад; Что ты делишься со мной этим; Ну ты хотя бы набрался опыта,1,0.053
12,сочувствие,Высокая,Ну ты хотя бы набрался опыта,1,0.053
13,самоэффективность,Низкая,Я не контроллирую ситуацию!; Мне просто никто не помогает в этом,6,0.316
13,самоэффективность,Низкая,Я не контроллирую ситуацию!,5,0.263
13,самоэффективность,Низкая,Я не контроллирую ситуацию!; Не говори глупости!,3,0.158
13,самоэффективность,Низкая,"Не пытайся мне насолить, я справлюсь",2,0.105
13,самоэффективность,Низкая,Мне просто никто не помогает в этом,1,0.053
13,самоэффективность,Низкая,"Я не контроллирую ситуацию!; Мне просто никто не помогает в этом; Не пытайся мне насолить, я справлюсь; Не говори глупости!",1,0.053
13,самоэффективность,Низкая,"Я не контроллирую ситуацию!; Не пытайся мне насолить, я справлюсь",1,0.053
13,самоэффективность,Средняя,Мне просто никто не помогает в этом,7,0.368
13,самоэффективность,Средняя,Не говори глупости!,5,0.263
13,самоэффективность,Средняя,"Не пытайся мне насолить, я справлюсь; Не говори глупости!",2,0.105
13,самоэффективность,Средняя,Я не контроллирую ситуацию!; Мне просто никто не помогает в этом,2,0.105
13,самоэффективность,Средняя,"Не пытайся мне насолить, я справлюсь",1,0.053
13,самоэффективность,Средняя,Я не контроллирую ситуацию!,1,0.053
13,самоэффективность,Средняя,"Я не контроллирую ситуацию!; Мне просто никто не помогает в этом; Не пытайся мне насолить, я справлюсь; Не говори глупости!",1,0.053
13,самоэффективность,Высокая,Не говори глупости!,6,0.316
13,самоэффективность,Высокая,"Не пытайся мне насолить, я справлюсь",6,0.316
13,самоэффективность,Высокая,"Не пытайся мне насолить, я справлюсь; Не говори глупости!",4,0.211
13,самоэффективность,Высокая,"Мне просто никто не помогает в этом; Не пытайся мне насолить, я справлюсь",1,0.053
13,самоэффективность,Высокая,"Мне просто никто не помогает в этом; Не пытайся мне насолить, я справлюсь; Не говори глупости!",1,0.053
13,самоэффективность,Высокая,"Я не контроллирую ситуацию!; Не пытайся мне насолить, я справлюсь; Не говори глупости!",1,0.053
14,аккуратность,Низкая,Это место не очень удобное для уборки,8,0.421
14,аккуратность,Низкая,Спасибо тебе; Что прибрался у меня!,4,0.211
14,аккуратность,Низкая,Спасибо тебе; Что прибрался у меня!; Спасибо; Что делаешь хорошо людям!,4,0.211
14,аккуратность,Низкая,"Да, это стоило всех приложенных мной усилий на уборку",1,0.053
14,аккуратность,Низкая,Это место не очень удобное для уборки; Спасибо тебе; Что прибрался у меня!,1,0.053
14,аккуратность,Низкая,Это место не очень удобное для уборки; Спасибо; Что делаешь хорошо людям!,1,0.053
14,аккуратность,Средняя,Спасибо тебе; Что прибрался у меня!; Спасибо; Что делаешь хорошо людям!,4,0.211
14,аккуратность,Средняя,Это место не очень удобное для уборки,4,0.211
14,аккуратность,Средняя,"Да, это стоило всех приложенных мной усилий на уборку",3,0.158
14,аккуратность,Средняя,Спасибо тебе; Что прибрался у меня!,3,0.158
14,аккуратность,Средняя,Спасибо; Что делаешь хорошо людям!,2,0.105
14,аккуратность,Средняя,"Да, это стоило всех приложенных мной усилий на уборку; Спасибо тебе; Что прибрался у меня!; Спасибо; Что делаешь хорошо людям!",1,0.053
14,аккуратность,Средняя,"Это место не очень удобное для уборки; Да, это стоило всех приложенных мной усилий на уборку",1,0.053
14,аккуратность,Средняя,"Это место не очень удобное для уборки; Да, это стоило всех приложенных мной усилий на уборку; Спасибо тебе; Что прибрался у меня!",1,0.053
14,аккуратность,Высокая,"Да, это стоило всех приложенных мной усилий на уборку",9,0.474
14,аккуратность,Высокая,"Да, это стоило всех приложенных мной усилий на уборку; Спасибо; Что делаешь хорошо людям!",3,0.158
14,аккуратность,Высокая,"Да, это стоило всех приложенных мной усилий на уборку; Спасибо тебе; Что прибрался у меня!",2,0.105
14,аккуратность,Высокая,"Да, это стоило всех приложенных мной усилий на уборку; Спасибо тебе; Что прибрался у меня!; Спасибо; Что делаешь хорошо людям!",1,0.053
14,аккуратность,Высокая,Спасибо тебе; Что прибрался у меня!,1,0.053
14,аккуратность,Высокая,Спасибо тебе; Что прибрался у меня!; Спасибо; Что делаешь хорошо людям!,1,0.053
14,аккуратность,Высокая,Спасибо; Что делаешь хорошо людям!,1,0.053
14,аккуратность,Высокая,"Это место не очень удобное для уборки; Да, это стоило всех приложенных мной усилий на уборку",1,0.053
15,исполнительность,Низкая,Ничего не выйдет,11,0.579
15,исполнительность,Низкая,"Ничего не выйдет; Вам бы не пришлось просить, если бы вы сами что то для этого сделали",4,0.211
15,исполнительность,Низкая,"Вам бы не пришлось просить, если бы вы сами что то для этого сделали",1,0.053
15,исполнительность,Низкая,"Ничего не выйдет; Вам бы не пришлось просить, если бы вы сами что для этого сделали",1,0.053
15,исполнительность,Низкая,"Ничего не выйдет; Вам бы не пришлось просить, если бы вы сами что то для этого сделали; Спасибо за ценную возможность! Я вас не подведу",1,0.053
15,исполнительность,Низкая,Спасибо за ценную возможность! Я вас не подведу,1,0.053
15,исполнительность,Средняя,"Вам бы не пришлось просить, если бы вы сами что то для этого сделали",9,0.474
15,исполнительность,Средняя,Спасибо за ценную возможность! Я вас не подведу,5,0.263
15,исполнительность,Средняя,Ничего не выйдет,3,0.158
15,исполнительность,Средняя,"Вам бы не пришлось просить, если бы вы сами что для этого сделали",1,0.053
15,исполнительность,Средняя,Ничего не выйдет; Спасибо за ценную возможность! Я вас не подведу,1,0.053
15,исполнительность,Высокая,Спасибо за ценную возможность! Я вас не подведу,18,0.947
15,исполнительность,Высокая,"Ничего не выйдет; Вам бы не пришлось просить, если бы вы сами что то для этого сделали; Спасибо за ценную возможность! Я вас не подведу",1,0.053
16,стремление к достижениям,Низкая,"Вы хотите, чтобы я опозорился там?; Вы ошибаетесь в выборе кандидата для такого мероприятия",7,0.368
16,стремление к достижениям,Низкая,"На меня будут смотреть люди; Вы хотите, чтобы я опозорился там?; Вы ошибаетесь в выборе кандидата для такого мероприятия",7,0.368
16,стремление к достижениям,Низкая,Прекрасная идея!,2,0.105
16,стремление к достижениям,Низкая,Вы ошибаетесь в выборе кандидата для такого мероприятия,1,0.053
16,стремление к достижениям,Низкая,"Вы хотите, чтобы я опозорился там?",1,0.053
16,стремление к достижениям,Низкая,"На меня будут смотреть люди; Вы хотите, чтобы я опозорился там?",1,0.053
16,стремление к достижениям,Средняя,На меня будут смотреть люди,8,0.421
16,стремление к достижениям,Средняя,Прекрасная идея!,4,0.211
16,стремление к достижениям,Средняя,Вы ошибаетесь в выборе кандидата для такого мероприятия,2,0.105
